state,plate_title,plate_img
AZ,"Arizona Agriculture",license-plate-arizona-agriculture.jpg
AZ,"Arizona Cardinals",license-plate-arizona-cardinals.jpg
AZ,"Arizona Centennial",license-plate-az-centennial.jpg
AZ,"Arizona Coyotes",licenese-plate-Coyotes-updated.jpg
AZ,"Arizona Diamondbacks",dbacks-license-plate.jpg
AZ,"Arizona Education",license-plate-arizona-education_0.jpg
AZ,"Arizona Highways",license-plate-arizona-highways.jpg
AZ,"Arizona Historical Society",AHS-new-platex.jpg
AZ,"Arizona REALTORS® Homes For All",license-plate-Arizona-REALTORS-Homes-For-All.jpg
AZ,"Arizona Rodeo",license-plate-rodeo-300x.jpg
AZ,"Arizona Science Center",license-plate-az-science-center.jpg
AZ,"Arizona Sportsmen for Wildlife Conservation",license-plate-arizona-sportsmen.jpg
AZ,"Arizona State University (ASU)",asu-new.jpg
AZ,"Barrett-Jackson",license-plate-barrett-jackson.jpg
AZ,"Boy Scouts of Arizona",license-plate-boy-scouts.jpg
AZ,"Cancer Support for Families",license-plate-Cancer-Support-for-Families.jpg
AZ,"Channel 8 PBS",license-plate-pbs8.jpg
AZ,"Character Education",license-plate-character-education.jpg
AZ,"Child Abuse Prevention",license-plate-child-abuse-prevention.jpg
AZ,"Childhood Cancer Research",license-plate-childhood-cancer-research.jpg
AZ,"Choose Life",license-plate-choose-life.jpg
AZ,"Classic Car",license-plate-classic-car.jpg
AZ,"Congenital Heart Defect Awareness",license-plate-congenital-heart-defect-awareness.jpg
AZ,"Congressional Medal of Honor",license-plate-congressional-medal-of-honor_0.jpg
AZ,"Deaf / Hard of Hearing",license-plate-hearing-impaired_0.jpg
AZ,"Deaf/Hard of Hearing Placard",deaf-hard-hearing-placard.jpg
AZ,"Diné College Warriors",license-plate-Dine-College-Warriors.jpg
AZ,"Disability (full size 6" x 12")",license-plate-regular-disability.jpg
AZ,"Distinguished Flying Cross",License-Plate-Distinguished-Flying-Cross.jpg
AZ,"Donate Life Arizona (Organ Donation)",Organ-Donor-6-zerosx.jpg
AZ,"Environmental",license-plate-environmental.jpg
AZ,"Farm Vehicle",license-plate-farm-vehicle.jpg
AZ,"Fiesta Bowl",License-Plate-Fiesta-Bowl.jpg
AZ,"Fire Fighter",license-plate-firefighter.jpg
AZ,"Firefighter Safety Training",license-plate-firefighter-safety-training.jpg
AZ,"First Responder",license-plate-first-responders.jpg
AZ,"Former Prisoner of War",license-plate-former-pow.jpg
AZ,"Fraternal Order of Police",license-plate-fraternal-order-of-police.jpg
AZ,"Girl Scouts",license-plate-girl-scouts.jpg
AZ,"Gold Star Family",GOLD-STAR-FAMILY-00000.jpg
AZ,"Golden Rule",license-plate-golden-rule.jpg
AZ,"Grand Canyon University",license-plate-gcu-grand-canyon-university.jpg
AZ,"Habitat for Humanity",License-Plate-Habitat-for-Humanity.jpg
AZ,"Historic Vehicle",license-plate-historic-vehicle.jpg
